match	player_id	reports	primary_issues	rtt_ms_max	rtt_ms_p95	rtt_max_ms_max	rtt_max_ms_p95	snapshot_jitter_ms_max	snapshot_jitter_ms_p95	snapshot_gap_max_ms_max	snapshot_gap_max_ms_p95	snapshot_late_frame_count_max	snapshot_late_frame_count_p95	predicted_snapshot_late_frame_count_max	predicted_snapshot_late_frame_count_p95	snapshot_bytes_max_max	snapshot_bytes_max_p95	snapshot_bytes_p95_max	snapshot_bytes_p95_p95	snapshot_bytes_avg_max	snapshot_bytes_avg_p95	snapshot_segment_budget_bytes_max	snapshot_segment_budget_bytes_p95	snapshot_over_segment_budget_count_max	snapshot_over_segment_budget_count_p95	snapshot_over_segment_budget_pct_x100_max	snapshot_over_segment_budget_pct_x100_p95	snapshot_parse_max_ms_max	snapshot_parse_max_ms_p95	snapshot_parse_p95_ms_max	snapshot_parse_p95_ms_p95	snapshot_decode_max_ms_max	snapshot_decode_max_ms_p95	snapshot_decode_p95_ms_max	snapshot_decode_p95_ms_p95	snapshot_apply_max_ms_max	snapshot_apply_max_ms_p95	snapshot_apply_p95_ms_max	snapshot_apply_p95_ms_p95	frame_gap_max_ms_max	frame_gap_max_ms_p95	frame_work_max_ms_max	frame_work_max_ms_p95	frame_work_p95_ms_max	frame_work_p95_ms_p95	renderer_max_ms_max	renderer_max_ms_p95	renderer_p95_ms_max	renderer_p95_ms_p95	fps_estimate_max	fps_estimate_p95	commands_issued_max	commands_issued_p95	command_burst_bucket_ms_max	command_burst_bucket_ms_p95	command_burst_max_max	command_burst_max_p95	command_burst_frame_gap_max_ms_max	command_burst_frame_gap_max_ms_p95	command_burst_worst_frame_phase_ms_max	command_burst_worst_frame_phase_ms_p95	server_tick_ms_max	server_tick_ms_p95	server_lag_ms_max	server_lag_ms_p95	slow_tick_count_max	slow_tick_count_p95	head_of_line_count_max	head_of_line_count_p95	acknowledged_command_latency_ms_max	acknowledged_command_latency_ms_p95	command_issue_to_server_receipt_max_ms_max	command_issue_to_server_receipt_max_ms_p95	command_issue_to_server_receipt_p95_ms_max	command_issue_to_server_receipt_p95_ms_p95	command_server_receipt_to_sim_ack_max_ms_max	command_server_receipt_to_sim_ack_max_ms_p95	command_server_receipt_to_sim_ack_p95_ms_max	command_server_receipt_to_sim_ack_p95_ms_p95	command_issue_to_sim_ack_max_ms_max	command_issue_to_sim_ack_max_ms_p95	command_issue_to_sim_ack_p95_ms_max	command_issue_to_sim_ack_p95_ms_p95	command_ack_snapshot_received_to_applied_max_ms_max	command_ack_snapshot_received_to_applied_max_ms_p95	command_ack_snapshot_received_to_applied_p95_ms_max	command_ack_snapshot_received_to_applied_p95_ms_p95	oldest_pending_command_age_ms_max	oldest_pending_command_age_ms_p95	max_pending_command_count_max	max_pending_command_count_p95	prediction_disable_user_count_max	prediction_disable_user_count_p95	prediction_disable_replay_count_max	prediction_disable_replay_count_p95	prediction_disable_spectator_count_max	prediction_disable_spectator_count_p95	prediction_disable_compatibility_count_max	prediction_disable_compatibility_count_p95	prediction_disable_wasm_count_max	prediction_disable_wasm_count_p95	prediction_disable_other_count_max	prediction_disable_other_count_p95	prediction_replay_max_ms_max	prediction_replay_max_ms_p95	prediction_replay_max_ticks_max	prediction_replay_max_ticks_p95	prediction_replay_budget_exceeded_count_max	prediction_replay_budget_exceeded_count_p95	server_command_receipts_accepted_max	server_command_receipts_accepted_p95	server_command_receipts_rejected_max	server_command_receipts_rejected_p95	server_reliable_drained_before_snapshot_max	server_reliable_drained_before_snapshot_p95	server_reliable_drained_before_snapshot_max_max	server_reliable_drained_before_snapshot_max_p95	server_snapshot_waited_behind_reliable_max	server_snapshot_waited_behind_reliable_p95	server_snapshot_sent_max	server_snapshot_sent_p95	server_snapshot_send_age_latest_ms_max	server_snapshot_send_age_latest_ms_p95	server_snapshot_send_age_max_ms_max	server_snapshot_send_age_max_ms_p95	server_snapshot_send_age_avg_ms_max	server_snapshot_send_age_avg_ms_p95	server_snapshot_slot_stored_max	server_snapshot_slot_stored_p95	server_snapshot_slot_replaced_max	server_snapshot_slot_replaced_p95	server_snapshot_slot_closed_max	server_snapshot_slot_closed_p95
103	7	148	command_upload_delay:73,prediction_correction:56,command_server_queue:10,command_density:7,command_response_delay:2	544	220	807	466	300	155	933	638	262	236	262	236	6895	6125	8192	6144	6401	5888	1280	1280	314	309	10000	10000	5	3	1	1	9	3	1	1	8	3	1	1	150	50	15	14	12	12	13	12	12	8	60	60	32	25	250	250	19	6	50	33	32	29	12	8	1	1	32	30	0	0	654	312	890	543	1000	1000	528	287	1000	250	890	616	1000	1000	2	2	2	2	396	93	19	6	0	0	0	0	0	0	0	0	0	0	0	0	2	2	19	6	0	0	32	25	0	0	11	1	4	1	11	1	316	310	1	0	4	1	0	0	316	309	0	0	0	0
103	9	149	command_upload_delay:68,packet_budget_pressure:37,command_server_queue:32,snapshot_gap:9,command_density:2,command_response_delay:1	662	368	1385	552	684	73	1318	637	465	367	0	0	8005	7671	8192	8192	7677	7364	1280	1280	323	309	10000	10000	12	1	1	1	19	3	1	1	1	0	1	1	58	42	49	26	8	8	47	24	8	8	120	120	41	25	250	250	16	6	43	25	43	26	10	9	2	1	32	30	0	0	0	0	1533	563	1000	1000	534	265	1000	500	1533	563	1000	1000	0	0	1	1	295	77	16	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	25	0	0	6	1	3	1	6	1	316	306	0	0	9	1	0	0	315	307	0	0	0	0
