timestamp	player	primary	rtt	rtt_max	gap	jitter	cmd_resp	cmd_upload	server_queue	commands	burst	frame_gap	frame_work	renderer	server_tick	server_lag	slow_count	payload_p95	over_budget	pred_mode	pred_ticks
2026-06-30T00:20:35.337827Z	9	command_server_queue	25	84	434	11	146	128	100	20	2	9	2	2	5	0	4	3072	10000	disabled	0
2026-06-30T00:20:35.687869Z	7	command_upload_delay	32	59	350	3	238	235	109	6	2	17	10	9	5	1	4	3072	10000	resyncing	1
2026-06-30T00:20:45.340036Z	9	command_server_queue	20	59	634	70	104	80	92	6	2	9	3	2	7	0	7	4096	10000	disabled	0
2026-06-30T00:20:45.705171Z	7	command_upload_delay	29	34	368	4	281	231	66	3	1	17	10	6	4	0	7	3072	10000	resyncing	1
2026-06-30T00:20:55.340072Z	9	packet_budget_pressure	39	39	466	28	154	146	34	14	5	9	3	2	5	1	9	4096	10000	disabled	0
2026-06-30T00:20:55.875343Z	7	command_upload_delay	31	43	365	4	288	283	33	8	1	17	10	8	5	0	9	3072	10000	resyncing	1
2026-06-30T00:21:05.355395Z	9	command_upload_delay	19	69	469	28	435	434	32	5	2	17	3	2	5	0	9	4096	10000	disabled	0
2026-06-30T00:21:05.710607Z	7	command_upload_delay	33	482	526	33	575	523	517	6	2	17	10	9	5	0	9	3072	10000	resyncing	1
2026-06-30T00:21:15.335494Z	9	command_upload_delay	19	50	438	8	447	441	25	7	2	9	4	3	4	0	10	4096	10000	disabled	0
2026-06-30T00:21:15.727717Z	7	command_upload_delay	43	464	544	7	368	368	119	16	2	17	7	5	4	0	10	4096	10000	resyncing	1
2026-06-30T00:21:25.340655Z	9	command_upload_delay	175	175	374	267	355	347	40	16	2	9	4	3	5	0	10	6144	10000	disabled	0
2026-06-30T00:21:25.993440Z	7	command_server_queue	198	198	504	82	299	140	159	3	1	17	6	5	4	0	10	4096	10000	resyncing	1
2026-06-30T00:21:35.362312Z	9	command_upload_delay	141	284	567	31	280	280	34	14	5	9	4	3	5	0	10	6144	10000	disabled	0
2026-06-30T00:21:35.741721Z	7	command_upload_delay	42	438	466	11	465	464	34	23	2	17	7	5	5	0	10	4096	10000	resyncing	3
2026-06-30T00:21:45.762494Z	9	command_upload_delay	25	42	500	23	409	264	392	10	2	9	4	3	4	0	10	4096	10000	disabled	0
